ticker,window,from,to,id,name,pnl,returnPct,maxDrawdownPct,sharpe,trades
SPY,Development,2016-01-01,2021-01-01,sma,SMA crossover,80697.187930871,80.69718793087101,11.884460604328714,1.1507459756845497,11
SPY,Development,2016-01-01,2021-01-01,rsi,RSI threshold,35693.60553445431,35.69360553445431,27.411770760284572,0.4785543086484416,6
SPY,Development,2016-01-01,2021-01-01,donchian,Donchian breakout,64466.29164610137,64.46629164610137,7.3448141379851215,1.1792877153772259,21
SPY,Development,2016-01-01,2021-01-01,sma200,Price above SMA 200,54537.83851312118,54.53783851312118,18.939782841384744,0.8046440605823669,12
SPY,Development,2016-01-01,2021-01-01,ema,EMA crossover,34438.032571985794,34.438032571985794,17.043325559419895,0.6306134946596268,21
SPY,Development,2016-01-01,2021-01-01,macd,MACD signal crossover,49910.014422855165,49.91001442285516,11.911520262503643,0.8782899651659065,50
SPY,Development,2016-01-01,2021-01-01,adx,ADX directional trend,2132.0276867593493,2.1320276867593493,6.864555463758597,0.11202916239755041,9
SPY,Development,2016-01-01,2021-01-01,ichimoku,Ichimoku conversion / base,32712.668976932706,32.712668976932704,17.133591457167206,0.5760895338877179,23
SPY,Development,2016-01-01,2021-01-01,supertrend,Supertrend reversal,43555.89368591731,43.55589368591731,14.211037179894678,0.7722423419359502,21
SPY,Development,2016-01-01,2021-01-01,psar,Parabolic SAR reversal,55157.569272593886,55.15756927259389,12.832072967891007,0.8807254634409397,59
SPY,Development,2016-01-01,2021-01-01,bb-breakout,Bollinger momentum breakout,7435.420272673859,7.435420272673858,8.385811417517406,0.28529395830833376,22
SPY,Development,2016-01-01,2021-01-01,bb-reversion,Bollinger mean reversion,17112.272853126255,17.112272853126253,27.77207726302107,0.2972739588574722,20
SPY,Development,2016-01-01,2021-01-01,connors,Connors RSI 4 pullback,5866.725164463991,5.866725164463991,12.601177886558112,0.1824632676328715,40
SPY,Development,2016-01-01,2021-01-01,stochastic,Stochastic oversold recovery,14179.39490894314,14.179394908943141,26.916220757492493,0.265996492934698,19
SPY,Development,2016-01-01,2021-01-01,cci,CCI trend impulse,50785.45387324551,50.78545387324551,12.639195259901864,1.011791704645218,32
SPY,Development,2016-01-01,2021-01-01,williams,Williams R recovery,28609.086981254397,28.609086981254396,26.96494664776004,0.4273093195051456,28
SPY,Development,2016-01-01,2021-01-01,roc,Rate-of-change momentum,36490.49833504192,36.49049833504192,19.054217161127912,0.6321335804383504,25
SPY,Development,2016-01-01,2021-01-01,cmf,Chaikin money flow trend,10687.078108907765,10.687078108907764,12.957384145059667,0.27487027856917484,52
SPY,Development,2016-01-01,2021-01-01,mfi,Money flow oversold,44697.22116959508,44.69722116959508,27.00612711557044,0.5639615625466181,4
SPY,Development,2016-01-01,2021-01-01,keltner,Keltner channel breakout,15296.572695463634,15.296572695463635,10.239319619363908,0.49991849322894144,20
SPY,Development,2016-01-01,2021-01-01,aroon,Aroon trend switch,42765.75777032657,42.76575777032657,15.199908050239106,0.7594245068980116,19
SPY,Development,2016-01-01,2021-01-01,tsi,True strength momentum,39881.40550992568,39.88140550992568,13.684424001769763,0.711135576273128,19
SPY,Development,2016-01-01,2021-01-01,ultimate,Ultimate oscillator recovery,4355.230844412683,4.355230844412683,29.299858837064548,0.13123605701662694,4
